url,daymoney,days,industry,jobdescribe,lasting,location,title,...
http://www.shixiseng.com/intern/inn_dzi4tjsfshwt,150-200/天 丨,"5天/周

丨","贸易/物流,计算机/互联网",岗位职责： - 负责Amazon市场调查分析，寻找热销产品； -负责分析amazon的搜索算法，用各种模拟测试方法，提高产品曝光量和销量。 -负责研究各种amazon和产品软件，各种站外推广的软件和方法的测试使用 任职要求： - 大专以上学历，计算机、物理、电子、化学等理工类数学类专业优先； - 优秀的英语书面及口头表达能力，能直接与客户电话沟通，读写能力优秀；英语过六级以上 - 工作积极主动，责任感强，有良好的沟通能力和团队合作精神，能承受一定的压力并有开拓创新精神；,实习3个月,深圳 丨,外贸电商数据分析（理科生）,{}
http://www.shixiseng.com/intern/inn_dpxrfrf3burf,150-200/天 丨,"4天/周

丨",计算机/互联网,岗位描述： 运用机器学习与数据挖掘方法，进行画像分析、用户推荐、客户洞察、大数据挖掘等工作。 岗位要求： 1.计算机、统计相关专业研究生及以上学历； 2.熟悉自然语言处理、机器学习、数据挖掘的相关算法，熟悉大数据相关技术； 3.熟悉Python/JAVA/scala，开发能力良好，有分布式数据处理经验者优先； 4.善于思考，有较强的分析与解决问题的能力。,实习6个月,上海 丨,机器学习/数据挖掘实习生,{}
http://www.shixiseng.com/intern/inn_efnwvk0ba0ic,80-100/天 丨,"4天/周

丨",咨询,岗位要求： 1、必须保证每周 4 天以上到岗，每周一和每周五必须到 2、能够保证至少 2 个月以上的实习期 3、具备较好的沟通表达能力和文字功底 4、过往有运营微博微博、维护官网或与公关、品牌、广告等相关经历优先,实习6个月,北京 丨,品牌传播实习生,{}
http://www.shixiseng.com/intern/inn_gracg324atgq,100-120/天 丨,"4天/周

丨",电子商务,"【岗位职责】： 负责唯品会金融部门的运营、产品、技术、风控的数据分析和系统支持工作，包括： 1. 根据业务需求，对海量业务数据进行处理、整合，为运营及决策提供业务分析及数据支持； 2. 制作报表，进行及时的业务数据监控； 3. 发现并指出数据异常情况，分析数据合理性； 4. 处理用户海量数据，提取、分析、归纳用户属性，行为等信息，完成分析结果； 【岗位要求】： 1. 全日制本科、研究生，数学、统计、计算机、金融工程等相关专业优先； 2. 熟练使用SQL，如Oracle、DB2、SQL 
Server等，熟悉Hadoop等分布式平台者优先； 3. 掌握统计、分析技术（回归、聚类、非参分析）的优先； 4. 每周能到岗至少4天； 5. 掌握金融产品知识，有互联网金融相关分析项目或实习经验者优先；",实习5个月,广州 丨,数据分析实习生（互金事业部）,{}
http://www.shixiseng.com/intern/inn_zdna0wabtbwp,175-185/天 丨,"3天/周

丨",计算机/互联网,•要求会SQL、excel、英文听说读写良好 •每周3天及以上，至少8个月，能待1年及以上优先考虑，研一优先 •研究生￥160+25（餐补）/天 本科生￥150+25（餐补）/天 满3500扣税 •无留用机会 每周一三五有早餐，二四有酸奶，每天有水果及无限量饮料零食供应，环境非常好。,实习8个月,上海 丨,数据分析实习生,{}
http://www.shixiseng.com/intern/inn_hxof7wz28v4y,160-260/天 丨,"2天/周

丨",计算机/互联网,岗位要求： 1、负责移动健康，移动美容的市场趋势与竞品的监控、洞察，按周汇总成竞品报告； 2、健康、美容 O2O 新品类新模式的研究跟踪、外部合作与落地推动； 3、负责数据分析，以支持产品、运营、商务、渠道决策； 4、参与公司相关战略规划、分析；基于业务，持续支持战略落地，推进跨部门协作及常规数据分析。 岗位要求 : 1、优先硕士或者 MBA 学历，计算机或经济背景相关专业，有过商业分析经验优先； 2、优秀的结构化分析与逻辑化表达能力、开放式沟通能力、协调推进能力。 3、优秀的外部 research 、数据获取与分析能力； . 能快速理解业务，发掘业务细节和数据之间的联系； 4、优秀的 PPT 呈现能力及 Excel 建模技能，具备数据库技能如数据分析工具（ R 、 excel 、 spss 、 sas 等）数据库（ mysql 、 hive ）者优先,实习3个月,北京 丨,商业分析专员,{}
http://www.shixiseng.com/intern/inn_1pwluixwcnp5,120-150/天 丨,"5天/周

丨","金融,计算机/互联网",上海数喆数据科技有限公司（ADAS）督导助理 这里有一个成熟稳重经验丰富的调研团队，这里有一群共同奋斗携手打造千万级商圈宏观数据库的小伙伴，这里有勤奋上进、吃苦肯干的团队精神，我们期待着勇于开拓的你加入这个大家庭。 职位描述： 在正式成为团队成员之后，我们希望你一方面能够负责协助绘图主管日常工作安排、开展区域工作规划；指导团队3—5名同伴开展城市调研工作。 任职要求： 1. 大四同学（或者应届毕业）优先考虑； 2、有学生干部经历和各类团体活动组织经验的同学优先考虑； 3、工作态度勤恳、认真细致、耐心细心，同时能够吃苦耐劳、严格服从项目安排的人员优先考虑； 4、有从事社会调研工作经验和应急情况处理能力者优先考虑； 5、具有一定组织管理能力和经验，能够长期持续工作的人员优先考虑； 6、能适应出差。 工作时间：4月17日至6月17日（早上9点-下午5点 ）。 工作地点：石家庄 薪资待遇：平均120-150元／天（基本工资+团队绩效提成+奖金，工作内容较为简单，只要认真工作，薪资可观）、公司购买保险，每周结算一次工资。 只要你敢于奋进，我们将为你提供项目实习证明、西财著名经济学教授推荐信、实习转正机会。 报名方式: 如果你有意向，请将个人简历发送 感兴趣亦欢迎私信，保证不收取任何费用！ 截止日期,实习3个月,石家庄 丨,调研督导助理,{}
http://www.shixiseng.com/intern/inn_trz0iknnopiw,100-200/天 丨,"5天/周

丨","金融/保险,其它",工作职责： 1. 进行业务数据统计，分析，拆分，整理 2. 参与微信答疑 3. 参与客户回访 任职要求： 1. 精通excel，Word，PPT 2. 懂基本的经济常识，数据分析 3. 做事踏实，细心，耐心,实习3个月,深圳 丨,业务数据分析实习生,{}
http://www.shixiseng.com/intern/inn_2c7yow9wa38n,80-120/天 丨,"4天/周

丨",计算机/互联网,1人事档案整理归档，员工花名册制作。 2员工入职离职手续办理，完成集团人事系统上报。 3协助完成招聘工作，电话预约，发送面试邀请函，确定招聘时间。 4人事、行政体系文件流转审批。 5协助完成其它工作。 任职要求：本科以上学历，管理类相关专业，热爱人力资源管理工作，有团队合作精神,实习8个月,北京 丨,人事助理,{}
http://www.shixiseng.com/intern/inn_j7umeimcto80,120-150/天 丨,"3天/周

丨",生物/医疗,工作内容： 参与赛默飞网站的活动效果分析和优化等工作，包括促销活动效果分析、用户购买行为研究等； 并根据具体活动规则，设置相关网站流量和销售的自动报告。 任职要求： 计算机类相关专业，能熟练运用SQL语句调用提取数据，能保证每周三天以上，可以实习六个月。 有较好的沟通、理解、协作能力，对网站分析感兴趣，可以接触到很多大型数据库和相关分析软件。,实习3个月,上海 丨,数据分析实习生,{}
