,url,samelike,watched,rate_self
96,https://www.douban.com/people/155078897,0,0,0.0
97,https://www.douban.com/people/3335605,73,659,0.11077389984825493
98,https://www.douban.com/people/49288200,0,0,0.0
99,https://www.douban.com/people/69714540,100,898,0.111358574610245
100,https://www.douban.com/people/157666279,0,0,0.0
101,https://www.douban.com/people/Ranne,27,325,0.08307692307692308
102,https://www.douban.com/people/156114531,0,0,0.0
103,https://www.douban.com/people/Shaun_Koda,71,2285,0.031072210065645513
104,https://www.douban.com/people/81264920,55,233,0.23605150214592274
105,https://www.douban.com/people/memphisss,52,673,0.07726597325408618
106,https://www.douban.com/people/158299830,0,0,0.0
107,https://www.douban.com/people/16954200,49,416,0.11778846153846154
108,https://www.douban.com/people/120764941,17,83,0.20481927710843373
109,https://www.douban.com/people/58247740,57,391,0.14578005115089515
110,https://www.douban.com/people/157216608,0,0,0.0
111,https://www.douban.com/people/3523127,23,292,0.07876712328767123
112,https://www.douban.com/people/142898952,9,56,0.16071428571428573
113,https://www.douban.com/people/scarlettcolor,45,348,0.12931034482758622
114,https://www.douban.com/people/apiao,87,353,0.24645892351274787
115,https://www.douban.com/people/flywanttofly,65,367,0.1771117166212534
116,https://www.douban.com/people/71853287,22,152,0.14473684210526316
117,https://www.douban.com/people/sherryohoh,36,98,0.3673469387755102
118,https://www.douban.com/people/151033115,0,0,0.0
119,https://www.douban.com/people/neverhideee,7,18,0.3888888888888889
120,https://www.douban.com/people/52021996,0,0,0.0
121,https://www.douban.com/people/68105404,20,120,0.16666666666666666
122,https://www.douban.com/people/87997485,90,640,0.140625
123,https://www.douban.com/people/3806326,153,2194,0.06973564266180492
124,https://www.douban.com/people/2123636,7,164,0.042682926829268296
125,https://www.douban.com/people/Wayi,59,368,0.16032608695652173
126,https://www.douban.com/people/152528471,0,0,0.0
127,https://www.douban.com/people/161572250,0,0,0.0
128,https://www.douban.com/people/momo621,96,481,0.1995841995841996
129,https://www.douban.com/people/137510105,25,102,0.24509803921568626
130,https://www.douban.com/people/39380447,117,726,0.16115702479338842
131,https://www.douban.com/people/56553176,54,395,0.13670886075949368
132,https://www.douban.com/people/103768115,0,0,0.0
133,https://www.douban.com/people/monkeybanana,53,168,0.31547619047619047
134,https://www.douban.com/people/127373200,42,166,0.25301204819277107
135,https://www.douban.com/people/134450034,27,156,0.17307692307692307
136,https://www.douban.com/people/160105187,0,0,0.0
137,https://www.douban.com/people/54958082,11,55,0.2
138,https://www.douban.com/people/90879065,28,74,0.3783783783783784
139,https://www.douban.com/people/dydyd_douban,85,1107,0.07678410117434507
140,https://www.douban.com/people/160918929,0,0,0.0
141,https://www.douban.com/people/47750184,0,0,0.0
142,https://www.douban.com/people/79602549,12,48,0.25
143,https://www.douban.com/people/foxjoan,90,2050,0.04390243902439024
144,https://www.douban.com/people/45496406,30,289,0.10380622837370242
145,https://www.douban.com/people/79414193,7,27,0.25925925925925924
146,https://www.douban.com/people/66040410,90,768,0.1171875
147,https://www.douban.com/people/71505096,0,0,0.0
148,https://www.douban.com/people/61118991,53,735,0.07210884353741497
149,https://www.douban.com/people/kellysynge,52,433,0.12009237875288684
150,https://www.douban.com/people/157022696,0,0,0.0
151,https://www.douban.com/people/1195424,69,407,0.16953316953316952
152,https://www.douban.com/people/70999560,17,66,0.25757575757575757
153,https://www.douban.com/people/127590946,0,0,0.0
154,https://www.douban.com/people/3949262,19,462,0.04112554112554113
155,https://www.douban.com/people/136272412,0,0,0.0
156,https://www.douban.com/people/56382475,86,892,0.09641255605381166
157,https://www.douban.com/people/1532624,80,596,0.1342281879194631
