url,actors,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/26341742/,"[""曾志伟"", ""曾宝仪"", ""王太利"", ""肖央"", ""杨千嬅"", ""丁子高"", ""韩庚"", ""吴昕"", ""冯喆"", ""朱珠"", ""邓紫棋"", ""张芸京"", ""金钟国"", ""李光洙""]",3106,"[""朱玲""]","[""冒险"", ""真人秀""]",6.5,极速前进 第二季,(2015),{}
https://movie.douban.com/subject/26724844/,[],,[],"[""歌舞"", ""家庭""]",,2016年东方卫视春节联欢晚会,(2016),{}
https://movie.douban.com/subject/25766672/,"[""郑伯昱"", ""归亚蕾"", ""迈克尔·亚当·汉密尔顿"", ""杰森·斯图尔特"", ""埃莉·詹姆森"", ""阿罗克·梅塔"", ""马志"", ""刘卡雅"", ""克里珊·伊斯特伍德"", ""伊薇特·默西迪丝"", ""李沛旭"", ""洪蕾""]",696,"[""郑伯昱""]","[""剧情"", ""喜剧"", ""同性"", ""家庭""]",6.4,满月酒 滿月酒,(2015),{}
https://movie.douban.com/subject/26801908/,"[""檀健次"", ""雷洋"", ""狄全泰"", ""魏鹏""]",,"[""张航""]",[],,网游之梦回诸仙,(2016),{}
https://movie.douban.com/subject/26780351/,"[""唐博"", ""彭禺厶"", ""杨丽玲""]",,"[""陈伟豪""]",[],,偷窥狂魔,(2016),{}
https://movie.douban.com/subject/26716393/,"[""姚祖妍"", ""马翼"", ""皮逸嘉"", ""刘子恺""]",,"[""姚祖妍""]",[],,女导演连环杀人案,(2016),{}
https://movie.douban.com/subject/25975323/,"[""张智霖"", ""陈乔恩"", ""佘诗曼"", ""薛家燕"", ""唐文龙"", ""马海伦"", ""郑欣宜"", ""林颖彤""]",12858,"[""叶念琛""]","[""剧情"", ""爱情""]",5.4,十月初五的月光,(2015),{}
https://movie.douban.com/subject/26711683/,"[""闫德生"", ""李欣芮"", ""闻超""]",,"[""田键""]","[""悬疑"", ""惊悚""]",,移魂俱乐部,(2016),{}
https://movie.douban.com/subject/1297767/,"[""乔宏"", ""卢燕"", ""周萱"", ""李影"", ""文秀""]",769,"[""唐书璇""]","[""爱情"", ""古装""]",8.2,董夫人,(1969),{}
https://movie.douban.com/subject/25778313/,"[""范植伟"", ""张睿羚""]",671,"[""王家卫""]","[""爱情"", ""短片""]",7.7,穿越九千公里献给你 I Travelled 9000 km To Give It To You,(2007),{}
https://movie.douban.com/subject/26333124/,"[""任贤齐"", ""贾静雯"", ""石知田"", ""程予希"", ""杨淇"", ""郑暐达"", ""邵雨薇"", ""孙鹏"", ""王道"", ""应采灵"", ""庹宗华"", ""王宇婕"", ""包小柏"", ""黄嘉千"", ""品冠""]",7643,"[""周格泰""]","[""爱情""]",6.7,十七岁 5月一号,(2015),{}
https://movie.douban.com/subject/24851526/,"[""张钧甯"", ""何润东"", ""赖佩霞"", ""丁春诚"", ""薛仕凌"", ""黄姵嘉"", ""池端玲名"", ""日比野玲"", ""谢琼煖"", ""吴朋奉"", ""郑有杰"", ""梁赫群""]",9841,"[""陈慧翎""]","[""爱情""]",5.7,我的男友和狗 只要一分鐘,(2014),{}
