--         	12249						
暂未购房        	6390						
与父母同住        	4428						
已购住房	3413						
独自租房	2211						
已购房（无贷款）	1937						
已购房（有贷款）	1698					暂未购房        	15751
与人合租          	893					已经购房	7048
住单位房         	872						
需要时购置         	804						
住亲朋家         	153						
	22799						
							
							
							
							
理由未知      	6390						
与父母同住        	4428						
独自租房	2211						
与人合租          	893						
住单位房         	872						
需要时购置         	804						
住亲朋家         	153						
