,rating,time
55172,4,2017/8/6 23:50
105715,5,2017/8/6 23:50
14639,4,2017/8/6 23:50
18669,5,2017/8/6 23:50
53132,5,2017/8/6 23:50
45425,5,2017/8/6 23:50
43079,5,2017/8/6 23:50
46486,3,2017/8/6 23:50
35677,4,2017/8/6 23:50
111663,5,2017/8/6 23:49
5306,5,2017/8/6 23:49
24121,4,2017/8/6 23:49
26325,3,2017/8/6 23:49
9334,4,2017/8/6 23:49
57578,5,2017/8/6 23:49
7986,3,2017/8/6 23:49
17727,5,2017/8/6 23:49
76730,3,2017/8/6 23:49
28030,5,2017/8/6 23:49
107031,4,2017/8/6 23:49
11538,2,2017/8/6 23:48
72086,5,2017/8/6 23:48
54930,5,2017/8/6 23:48
54998,5,2017/8/6 23:48
109461,5,2017/8/6 23:48
56005,4,2017/8/6 23:48
55358,4,2017/8/6 23:48
36173,4,2017/8/6 23:48
54399,5,2017/8/6 23:48
49745,4,2017/8/6 23:48
21507,4,2017/8/6 23:48
96095,5,2017/8/6 23:48
60904,5,2017/8/6 23:48
85865,3,2017/8/6 23:48
9261,4,2017/8/6 23:48
64678,3,2017/8/6 23:48
40468,5,2017/8/6 23:48
94059,2,2017/8/6 23:48
98867,2,2017/8/6 23:47
60113,4,2017/8/6 23:47
44384,4,2017/8/6 23:47
15523,5,2017/8/6 23:47
24020,4,2017/8/6 23:47
12770,5,2017/8/6 23:47
45306,4,2017/8/6 23:47
40328,5,2017/8/6 23:47
49729,5,2017/8/6 23:47
37872,4,2017/8/6 23:47
49986,4,2017/8/6 23:47
109173,4,2017/8/6 23:47
75628,4,2017/8/6 23:46
58344,5,2017/8/6 23:46
12176,5,2017/8/6 23:46
12764,4,2017/8/6 23:46
106205,5,2017/8/6 23:46
46007,4,2017/8/6 23:46
49377,3,2017/8/6 23:46
104931,4,2017/8/6 23:46
91979,5,2017/8/6 23:46
68277,5,2017/8/6 23:46
85780,5,2017/8/6 23:46
103824,3,2017/8/6 23:46
38056,3,2017/8/6 23:46
69491,4,2017/8/6 23:45
38862,5,2017/8/6 23:45
33992,5,2017/8/6 23:45
62089,4,2017/8/6 23:45
87964,5,2017/8/6 23:45
12519,5,2017/8/6 23:45
23021,5,2017/8/6 23:45
55490,4,2017/8/6 23:45
89087,5,2017/8/6 23:45
14902,3,2017/8/6 23:45
7742,5,2017/8/6 23:45
932,5,2017/8/6 23:45
37312,5,2017/8/6 23:45
48845,3,2017/8/6 23:45
44908,5,2017/8/6 23:45
106966,4,2017/8/6 23:45
28326,3,2017/8/6 23:45
103118,3,2017/8/6 23:45
39136,4,2017/8/6 23:45
52675,,2017/8/6 23:44
92958,5,2017/8/6 23:44
111767,1,2017/8/6 23:44
1814,5,2017/8/6 23:44
84903,5,2017/8/6 23:44
54191,3,2017/8/6 23:44
76240,3,2017/8/6 23:44
35752,3,2017/8/6 23:44
69816,4,2017/8/6 23:44
112240,3,2017/8/6 23:44
90946,4,2017/8/6 23:44
17101,4,2017/8/6 23:44
26093,5,2017/8/6 23:44
70087,5,2017/8/6 23:44
42136,3,2017/8/6 23:44
62684,5,2017/8/6 23:43
2210,5,2017/8/6 23:43
112101,5,2017/8/6 23:43
60870,3,2017/8/6 23:43
77495,5,2017/8/6 23:43
62524,3,2017/8/6 23:43
12255,3,2017/8/6 23:43
111778,4,2017/8/6 23:43
68799,5,2017/8/6 23:43
39272,5,2017/8/6 23:43
25235,3,2017/8/6 23:43
44605,5,2017/8/6 23:43
11752,5,2017/8/6 23:43
67427,2,2017/8/6 23:43
98649,3,2017/8/6 23:43
84121,5,2017/8/6 23:43
69755,4,2017/8/6 23:43
56606,4,2017/8/6 23:42
44191,5,2017/8/6 23:42
18438,5,2017/8/6 23:42
82561,5,2017/8/6 23:42
32405,2,2017/8/6 23:42
41986,5,2017/8/6 23:42
70827,5,2017/8/6 23:42
58847,4,2017/8/6 23:42
35811,5,2017/8/6 23:42
22614,5,2017/8/6 23:42
25178,4,2017/8/6 23:42
79147,5,2017/8/6 23:42
36561,5,2017/8/6 23:42
68322,4,2017/8/6 23:41
61921,5,2017/8/6 23:41
13060,4,2017/8/6 23:41
94538,3,2017/8/6 23:41
79064,5,2017/8/6 23:41
73632,3,2017/8/6 23:41
62383,1,2017/8/6 23:41
58485,5,2017/8/6 23:41
95060,4,2017/8/6 23:41
6177,5,2017/8/6 23:41
15747,4,2017/8/6 23:41
84726,5,2017/8/6 23:41
29460,5,2017/8/6 23:41
78918,3,2017/8/6 23:41
34965,1,2017/8/6 23:41
71202,5,2017/8/6 23:41
62174,5,2017/8/6 23:41
45317,4,2017/8/6 23:41
11401,3,2017/8/6 23:40
61869,4,2017/8/6 23:40
11788,4,2017/8/6 23:40
60738,4,2017/8/6 23:40
43676,5,2017/8/6 23:40
52697,5,2017/8/6 23:40
67538,4,2017/8/6 23:40
95097,2,2017/8/6 23:40
5663,2,2017/8/6 23:40
38076,5,2017/8/6 23:40
27000,4,2017/8/6 23:40
30490,3,2017/8/6 23:40
95520,2,2017/8/6 23:40
53579,5,2017/8/6 23:40
10806,4,2017/8/6 23:40
75313,3,2017/8/6 23:40
18854,5,2017/8/6 23:40
49385,3,2017/8/6 23:39
49814,2,2017/8/6 23:39
94433,3,2017/8/6 23:39
88063,4,2017/8/6 23:39
103920,1,2017/8/6 23:39
99613,,2017/8/6 23:39
14555,3,2017/8/6 23:39
87189,5,2017/8/6 23:39
40434,5,2017/8/6 23:39
7481,5,2017/8/6 23:39
82526,5,2017/8/6 23:39
89425,3,2017/8/6 23:39
105807,4,2017/8/6 23:39
76031,4,2017/8/6 23:39
96472,1,2017/8/6 23:39
4974,5,2017/8/6 23:39
66555,5,2017/8/6 23:39
25377,3,2017/8/6 23:39
57031,5,2017/8/6 23:39
108944,5,2017/8/6 23:39
23308,5,2017/8/6 23:38
1444,4,2017/8/6 23:38
42855,3,2017/8/6 23:38
18037,3,2017/8/6 23:38
72369,5,2017/8/6 23:38
112329,5,2017/8/6 23:38
82743,5,2017/8/6 23:38
57293,5,2017/8/6 23:38
49570,4,2017/8/6 23:38
16305,4,2017/8/6 23:38
50550,3,2017/8/6 23:38
54172,3,2017/8/6 23:38
59925,3,2017/8/6 23:38
86106,5,2017/8/6 23:38
85359,3,2017/8/6 23:38
84610,3,2017/8/6 23:38
97052,3,2017/8/6 23:38
70671,5,2017/8/6 23:38
108940,4,2017/8/6 23:38
26932,3,2017/8/6 23:38
57812,3,2017/8/6 23:38
81941,5,2017/8/6 23:38
17780,5,2017/8/6 23:37
43180,4,2017/8/6 23:37
5455,5,2017/8/6 23:37
13216,3,2017/8/6 23:37
8729,2,2017/8/6 23:37
37991,4,2017/8/6 23:37
33538,4,2017/8/6 23:37
110624,5,2017/8/6 23:37
65003,5,2017/8/6 23:37
71680,4,2017/8/6 23:37
80320,5,2017/8/6 23:37
108727,5,2017/8/6 23:37
54156,5,2017/8/6 23:37
32137,5,2017/8/6 23:37
32518,5,2017/8/6 23:37
3625,5,2017/8/6 23:36
1544,1,2017/8/6 23:36
57158,4,2017/8/6 23:36
82614,5,2017/8/6 23:36
46371,5,2017/8/6 23:36
90795,5,2017/8/6 23:36
48431,5,2017/8/6 23:36
109738,4,2017/8/6 23:36
33940,4,2017/8/6 23:36
96094,3,2017/8/6 23:36
28141,5,2017/8/6 23:36
108071,5,2017/8/6 23:36
85838,3,2017/8/6 23:36
63961,,2017/8/6 23:36
65080,4,2017/8/6 23:36
99121,5,2017/8/6 23:36
53659,3,2017/8/6 23:35
112035,4,2017/8/6 23:35
7629,5,2017/8/6 23:35
108997,4,2017/8/6 23:35
64403,5,2017/8/6 23:35
98383,2,2017/8/6 23:35
32062,4,2017/8/6 23:35
43943,1,2017/8/6 23:35
7563,3,2017/8/6 23:35
19780,4,2017/8/6 23:35
38347,3,2017/8/6 23:35
59313,5,2017/8/6 23:35
2341,4,2017/8/6 23:35
61563,5,2017/8/6 23:35
39834,4,2017/8/6 23:35
2286,5,2017/8/6 23:35
109620,4,2017/8/6 23:35
80018,4,2017/8/6 23:35
6565,3,2017/8/6 23:35
33077,3,2017/8/6 23:35
11176,2,2017/8/6 23:35
112528,4,2017/8/6 23:35
13488,3,2017/8/6 23:35
63214,4,2017/8/6 23:34
32257,3,2017/8/6 23:34
73680,4,2017/8/6 23:34
2790,5,2017/8/6 23:34
66756,4,2017/8/6 23:34
89172,5,2017/8/6 23:34
110291,5,2017/8/6 23:34
109436,5,2017/8/6 23:34
56226,4,2017/8/6 23:34
107057,4,2017/8/6 23:34
112,5,2017/8/6 23:34
69117,3,2017/8/6 23:34
12919,2,2017/8/6 23:34
110750,5,2017/8/6 23:34
40647,3,2017/8/6 23:34
41797,5,2017/8/6 23:34
93099,4,2017/8/6 23:34
103172,5,2017/8/6 23:34
4729,5,2017/8/6 23:34
49192,2,2017/8/6 23:34
86390,5,2017/8/6 23:34
5598,5,2017/8/6 23:34
45923,3,2017/8/6 23:34
52626,3,2017/8/6 23:34
98042,5,2017/8/6 23:34
97659,5,2017/8/6 23:34
3232,3,2017/8/6 23:33
43799,1,2017/8/6 23:33
8506,3,2017/8/6 23:33
67783,5,2017/8/6 23:33
19711,4,2017/8/6 23:33
103151,2,2017/8/6 23:33
30733,4,2017/8/6 23:33
106384,5,2017/8/6 23:33
54588,3,2017/8/6 23:33
77710,4,2017/8/6 23:33
77038,3,2017/8/6 23:33
43583,1,2017/8/6 23:33
56315,4,2017/8/6 23:33
73274,4,2017/8/6 23:33
4922,5,2017/8/6 23:33
50221,4,2017/8/6 23:33
58176,5,2017/8/6 23:33
11325,4,2017/8/6 23:33
12673,1,2017/8/6 23:33
1041,4,2017/8/6 23:32
16630,5,2017/8/6 23:32
91679,5,2017/8/6 23:32
21125,3,2017/8/6 23:32
21985,1,2017/8/6 23:32
13261,5,2017/8/6 23:32
37696,3,2017/8/6 23:32
57291,3,2017/8/6 23:32
34667,4,2017/8/6 23:32
78178,4,2017/8/6 23:32
12677,2,2017/8/6 23:32
89509,5,2017/8/6 23:32
28988,1,2017/8/6 23:32
112283,5,2017/8/6 23:32
6646,1,2017/8/6 23:32
76576,5,2017/8/6 23:32
17336,3,2017/8/6 23:32
100906,3,2017/8/6 23:32
21452,3,2017/8/6 23:31
21818,5,2017/8/6 23:31
31362,4,2017/8/6 23:31
36944,3,2017/8/6 23:31
74669,3,2017/8/6 23:31
8477,5,2017/8/6 23:31
57430,4,2017/8/6 23:31
38200,1,2017/8/6 23:31
99972,4,2017/8/6 23:31
25460,2,2017/8/6 23:31
61611,5,2017/8/6 23:31
10497,5,2017/8/6 23:31
37380,2,2017/8/6 23:31
7029,3,2017/8/6 23:31
2949,2,2017/8/6 23:30
46207,5,2017/8/6 23:30
107754,2,2017/8/6 23:30
14183,5,2017/8/6 23:30
31522,5,2017/8/6 23:30
61180,4,2017/8/6 23:30
59352,5,2017/8/6 23:30
37119,2,2017/8/6 23:30
71528,5,2017/8/6 23:30
44250,4,2017/8/6 23:30
96602,4,2017/8/6 23:30
107229,5,2017/8/6 23:30
87609,3,2017/8/6 23:30
27069,5,2017/8/6 23:29
10778,3,2017/8/6 23:29
27698,3,2017/8/6 23:29
39152,3,2017/8/6 23:29
72525,4,2017/8/6 23:29
49265,5,2017/8/6 23:29
45971,3,2017/8/6 23:29
27742,4,2017/8/6 23:29
90815,5,2017/8/6 23:29
58616,3,2017/8/6 23:29
77327,5,2017/8/6 23:29
38623,5,2017/8/6 23:29
24250,4,2017/8/6 23:29
39261,5,2017/8/6 23:29
14751,4,2017/8/6 23:29
71937,4,2017/8/6 23:29
60347,5,2017/8/6 23:28
57458,3,2017/8/6 23:28
106604,4,2017/8/6 23:28
22813,5,2017/8/6 23:28
1492,5,2017/8/6 23:28
50773,5,2017/8/6 23:28
54143,5,2017/8/6 23:28
60089,4,2017/8/6 23:28
26862,5,2017/8/6 23:28
11044,5,2017/8/6 23:28
80741,4,2017/8/6 23:28
59297,4,2017/8/6 23:28
94791,4,2017/8/6 23:28
71209,3,2017/8/6 23:28
112393,5,2017/8/6 23:28
25254,3,2017/8/6 23:28
43935,4,2017/8/6 23:28
109610,5,2017/8/6 23:28
18573,4,2017/8/6 23:27
28110,5,2017/8/6 23:27
97155,2,2017/8/6 23:27
111426,4,2017/8/6 23:27
21314,4,2017/8/6 23:27
73175,4,2017/8/6 23:27
37464,3,2017/8/6 23:27
49894,4,2017/8/6 23:27
76077,2,2017/8/6 23:27
8188,4,2017/8/6 23:27
11651,5,2017/8/6 23:27
94650,4,2017/8/6 23:27
25056,3,2017/8/6 23:27
83610,5,2017/8/6 23:27
52842,4,2017/8/6 23:27
24654,5,2017/8/6 23:27
20469,4,2017/8/6 23:27
28826,3,2017/8/6 23:27
105722,5,2017/8/6 23:27
100679,4,2017/8/6 23:27
7381,1,2017/8/6 23:27
28758,4,2017/8/6 23:27
56359,4,2017/8/6 23:27
106438,5,2017/8/6 23:27
59798,2,2017/8/6 23:26
85561,5,2017/8/6 23:26
82883,5,2017/8/6 23:26
28910,2,2017/8/6 23:26
65284,5,2017/8/6 23:26
4589,5,2017/8/6 23:26
58593,4,2017/8/6 23:26
57841,5,2017/8/6 23:26
67198,4,2017/8/6 23:26
64528,2,2017/8/6 23:26
74318,5,2017/8/6 23:26
112396,4,2017/8/6 23:26
60882,5,2017/8/6 23:26
80517,3,2017/8/6 23:26
24050,5,2017/8/6 23:26
36781,5,2017/8/6 23:26
89540,3,2017/8/6 23:26
112557,2,2017/8/6 23:26
53400,5,2017/8/6 23:26
77098,3,2017/8/6 23:26
31810,4,2017/8/6 23:26
11989,4,2017/8/6 23:25
3137,5,2017/8/6 23:25
112363,5,2017/8/6 23:25
85511,4,2017/8/6 23:25
51196,4,2017/8/6 23:25
25308,5,2017/8/6 23:25
69530,5,2017/8/6 23:25
13318,5,2017/8/6 23:25
14108,5,2017/8/6 23:25
56736,5,2017/8/6 23:25
88942,5,2017/8/6 23:25
26178,5,2017/8/6 23:25
15034,3,2017/8/6 23:25
76957,5,2017/8/6 23:24
9139,5,2017/8/6 23:24
28856,3,2017/8/6 23:24
3272,2,2017/8/6 23:24
61723,5,2017/8/6 23:24
41526,5,2017/8/6 23:24
96181,3,2017/8/6 23:24
76021,5,2017/8/6 23:24
52963,4,2017/8/6 23:24
87960,5,2017/8/6 23:24
8439,4,2017/8/6 23:24
