,Index,rate,person_page,watched,want,register_date,isfake
59,360,3.0,https://www.douban.com/people/162579331,0.0,0.0,0.9986171929015901,1
60,1576,1.0,https://www.douban.com/people/162553120,0.0,0.0,0.9986171929015901,1
61,310,1.0,https://www.douban.com/people/162554460,0.00030429049599350845,0.0,0.9986171929015901,0
62,1223,3.0,https://www.douban.com/people/162560520,0.00030429049599350845,0.00013825521913452232,0.9986171929015901,0
63,17,1.0,https://www.douban.com/people/162565764,0.0,0.0,0.9986171929015901,1
64,1824,1.0,https://www.douban.com/people/162557644,0.0,0.0,0.9986171929015901,1
65,1306,1.0,https://www.douban.com/people/162592198,0.00040572066132467795,0.0,0.9986171929015901,0
66,1757,2.0,https://www.douban.com/people/162579452,0.0,0.0,0.9986171929015901,1
67,345,1.0,https://www.douban.com/people/162553380,0.00030429049599350845,0.0,0.9986171929015901,0
68,51,1.0,https://www.douban.com/people/162553016,0.0,0.0,0.9986171929015901,1
69,192,1.0,https://www.douban.com/people/162583200,0.00040572066132467795,0.0,0.9986171929015901,0
70,308,1.0,https://www.douban.com/people/162559178,0.0,0.0,0.9986171929015901,1
71,1247,1.0,https://www.douban.com/people/162559060,0.0,0.0,0.9986171929015901,1
72,523,5.0,https://www.douban.com/people/162554554,0.0,0.0,0.9986171929015901,1
73,419,1.0,https://www.douban.com/people/162528733,0.00010143016533116949,0.0,0.998386725051855,1
74,1278,1.0,https://www.douban.com/people/162547582,0.0,0.0,0.998386725051855,1
75,1734,3.0,https://www.douban.com/people/162541066,0.0,0.0,0.998386725051855,1
76,849,3.0,https://www.douban.com/people/162534829,0.0,0.00027651043826904464,0.998386725051855,1
77,1832,5.0,https://www.douban.com/people/162507013,0.0,0.0,0.998386725051855,1
78,1097,1.0,https://www.douban.com/people/162532123,0.0,0.0,0.998386725051855,1
79,235,1.0,https://www.douban.com/people/162548816,0.00010143016533116949,0.0,0.998386725051855,1
80,382,2.0,https://www.douban.com/people/162542762,0.00010143016533116949,0.0,0.998386725051855,1
81,1366,1.0,https://www.douban.com/people/FMKL217,0.0,0.0,0.998386725051855,1
82,480,1.0,https://www.douban.com/people/162521154,0.00010143016533116949,0.0,0.998386725051855,1
