3,211,1.939999962
3,277,1.639999962
3,753,1.835000038
3,764,2.239999962
3,857,2.810000038
3,1008,2.435000038
4,211,1.385000038
5,4,2.585000038
5,12,2.585000038
6,148,1.535000038
6,858,2.389999962
7,24,2.645000077
9,184,2.435000038
10,4,2.435000038
10,14,1.789999962
10,617,1.535000038
12,12,2.285000038
13,3,2.689999962
13,6,2.435000038
13,29,2.285000038
13,270,1.985000038
13,272,2.135000038
13,391,2.585000038
13,729,1.985000038
14,25,2.435000038
15,52,2.435000038
16,15,2.435000038
17,18,1.385000038
17,597,1.235000038
17,740,1.385000038
18,24,1.745000077
18,30,1.535000038
19,4,2.285000038
20,20,1.385000038
21,260,2.135000038
21,849,2.689999962
23,49,1.835000038
24,623,1.985000038
24,802,2.539999962
25,8,1.235000038
25,16,1.444999981
25,21,1.639999962
25,33,1.339999962
25,43,1.160000038
25,49,1.339999962
25,254,1.235000038
25,968,1.160000038
25,1030,1.160000038
25,1037,1.160000038
26,23,1.235000038
26,51,2.135000038
26,445,1.685000038
27,150,2.75
27,743,2.285000038
28,24,1.789999962
28,49,1.235000038
29,3,1.835000038
29,453,2.045000077
29,682,1.835000038
30,127,2.689999962
31,24,2.285000038
32,29,2.135000038
33,51,2.585000038
34,24,1.385000038
35,619,2.135000038
36,267,2.135000038
39,67,2.585000038
39,268,2.585000038
40,376,1.385000038
41,4,1.535000038
42,742,2.539999962
42,744,2.435000038
43,35,1.685000038
44,10,2.435000038
45,24,1.985000038
45,33,1.535000038
46,27,2.285000038
48,188,1.685000038
48,236,1.535000038
48,567,1.385000038
48,663,2.135000038
49,48,2.435000038
50,114,1.939999962
51,261,1.685000038
51,731,1.985000038
52,23,2.135000038
52,24,2.585000038
53,24,2.435000038
54,243,2.135000038
54,728,2.285000038
56,35,2.285000038
60,802,2.285000038
61,525,1.235000038
63,127,2.539999962
63,154,2.435000038
63,415,1.535000038
63,651,1.685000038
63,809,1.985000038
63,812,1.985000038
63,817,2.645000077
64,47,1.939999962
64,73,1.685000038
64,83,2.135000038
64,102,1.985000038
64,108,2.135000038
65,658,1.235000038
66,165,1.385000038
66,365,1.489999962
66,392,1.654999924
66,416,1.235000038
66,448,1.7
66,466,1.385000038
66,677,1.339999962
66,700,1.385000038
66,736,1.385000038
66,880,1.654999924
66,925,1.339999962
66,1054,1.235000038
67,550,1.835000038
67,839,2.704999924
70,203,1.985000038
70,229,2.45
70,265,1.385000038
70,269,1.985000038
70,276,1.835000038
70,282,1.535000038
70,319,2.3
70,595,1.235000038
70,711,1.385000038
70,781,2.345000077
70,893,1.55
70,924,1.535000038
71,47,2.389999962
71,78,1.385000038
71,102,2.285000038
71,187,1.235000038
71,229,2.704999924
71,254,2.239999962
71,257,1.835000038
71,272,2.539999962
71,563,1.804999924
71,686,1.235000038
71,857,1.939999962
71,950,1.985000038
73,463,1.594999981
74,46,1.985000038
74,174,2.539999962
74,200,1.235000038
74,240,1.535000038
74,242,1.639999962
74,261,1.685000038
74,266,2.089999962
74,268,1.685000038
74,286,1.835000038
74,403,1.835000038
74,1032,1.985000038
75,106,1.985000038
75,309,1.685000038
77,153,1.789999962
77,371,1.835000038
77,436,1.835000038
77,578,1.639999962
77,694,1.835000038
77,755,1.985000038
77,844,1.835000038
77,889,1.835000038
77,933,1.685000038
78,146,1.535000038
78,147,1.789999962
78,395,1.639999962
78,666,1.535000038
80,252,1.535000038
80,270,1.535000038
81,709,1.489999962
82,98,1.939999962
82,126,1.789999962
82,246,1.985000038
82,948,1.835000038
84,147,2.164999962
84,226,1.235000038
84,231,1.954999924
84,299,2.045000077
84,311,1.594999981
84,367,1.970000077
84,393,3.215000153
84,433,2.014999962
84,449,1.804999924
84,467,1.339999962
84,570,1.489999962
84,608,2.104999924
84,665,1.339999962
84,689,2.060000038
84,857,2
84,859,1.895000077
84,927,2
84,1030,1.160000038
84,1057,1.954999924
85,12,1.339999962
85,94,1.385000038
85,125,2.135000038
85,130,1.235000038
85,195,1.235000038
85,218,1.594999981
85,237,1.444999981
85,239,1.444999981
85,291,1.235000038
85,351,1.444999981
85,360,1.444999981
85,361,1.385000038
